date,store,product,category,quantity_sold,price_per_unit,discount_applied,total_sales,returned
2023-07-22,Las Vegas,Frozen Lumpia,Frozen Goods,4,1.09,0.0,4.36,0
2023-03-30,Las Vegas,Frozen Lumpia,Frozen Goods,5,2.5,0.12,12.5,0
2023-10-11,San Diego,Bagoong,Condiments,4,14.12,0.0,56.48,0
2023-05-03,San Diego,Chippy,Snacks,2,9.15,0.0,18.3,0
2023-10-17,Las Vegas,Tocino,Frozen Goods,0,13.2,1.98,0.0,0
2023-03-11,Las Vegas,Soy Sauce,Condiments,3,1.31,0.0,3.93,0
2023-03-16,Las Vegas,SkyFlakes,Snacks,5,7.32,0.0,36.6,0
2023-12-19,Cerritos,Ube Ice Cream,Frozen Goods,2,10.53,0.0,21.06,0
2023-08-08,Cerritos,Chippy,Snacks,4,9.94,0.0,39.76,0
2023-11-21,Las Vegas,Frozen Lumpia,Frozen Goods,4,1.44,0.0,5.76,0
2023-06-05,Las Vegas,Frozen Lumpia,Frozen Goods,5,11.79,1.18,58.95,0
2023-10-31,San Diego,Chippy,Snacks,2,13.89,0.0,27.78,0
2023-09-29,Las Vegas,Banana Ketchup,Condiments,2,10.6,0.0,21.2,0
2023-09-17,Cerritos,Boy Bawang,Snacks,1,9.15,0.0,9.15,0
2023-09-19,Cerritos,Boy Bawang,Snacks,2,2.01,0.0,4.02,0
2023-08-03,San Diego,Boy Bawang,Snacks,5,7.73,0.0,38.65,0
2023-02-06,Cerritos,Bagoong,Condiments,3,10.83,0.0,32.49,0
2023-06-17,Cerritos,Ube Ice Cream,Frozen Goods,2,5.91,0.0,11.82,0
2023-10-09,San Diego,Banana Ketchup,Condiments,2,10.65,1.07,21.3,0
2023-09-10,Cerritos,Dried Fish,Dry Goods,1,9.91,0.5,9.91,0
2023-05-02,San Diego,Rice,Dry Goods,1,8.58,0.43,8.58,0
2023-08-05,Cerritos,Longganisa,Frozen Goods,4,13.53,0.0,54.12,0
2023-06-17,San Diego,Ube Ice Cream,Frozen Goods,4,1.84,0.0,7.36,0
2023-12-21,San Diego,SkyFlakes,Snacks,4,12.06,0.0,48.24,0
2023-01-28,Cerritos,Boy Bawang,Snacks,6,10.52,0.0,63.12,0
2023-01-31,Las Vegas,Dried Fish,Dry Goods,5,5.84,0.0,29.2,1
2023-07-26,Cerritos,Rice,Dry Goods,0,13.14,0.0,0.0,0
2023-12-09,Cerritos,Boy Bawang,Snacks,5,9.29,0.93,46.45,0
2023-07-22,Las Vegas,Soy Sauce,Condiments,3,11.02,1.1,33.06,0
2023-03-07,San Diego,Soy Sauce,Condiments,2,12.96,0.0,25.92,0
2023-03-29,Las Vegas,Chippy,Snacks,4,3.29,0.0,13.16,0
2023-07-15,Cerritos,Frozen Lumpia,Frozen Goods,3,2.83,0.42,8.49,0
2023-12-02,Las Vegas,Dried Fish,Dry Goods,1,3.38,0.0,3.38,0
2023-02-28,Las Vegas,Dried Fish,Dry Goods,4,3.34,0.0,13.36,0
2023-06-26,San Diego,SkyFlakes,Snacks,7,2.57,0.0,17.99,0
2023-07-04,Las Vegas,Vinegar,Condiments,2,2.71,0.0,5.42,0
2023-11-09,Las Vegas,Pandesal,Dry Goods,2,3.08,0.46,6.16,0
2023-02-17,San Diego,Rice,Dry Goods,0,14.33,0.0,0.0,0
2023-03-01,Las Vegas,Frozen Lumpia,Frozen Goods,4,1.42,0.0,5.68,0
2023-04-22,San Diego,SkyFlakes,Snacks,3,10.42,0.0,31.26,0
2023-08-09,Cerritos,Vinegar,Condiments,5,9.65,0.97,48.25,0
2023-05-17,Las Vegas,Bagoong,Condiments,0,14.03,0.0,0.0,0
2023-05-10,Las Vegas,Pandesal,Dry Goods,3,2.49,0.0,7.47,1
2023-02-03,San Diego,SkyFlakes,Snacks,0,14.68,0.0,0.0,0
2023-02-08,Cerritos,Ube Ice Cream,Frozen Goods,5,10.35,1.03,51.75,0
2023-09-12,San Diego,Polvoron,Snacks,3,8.62,0.0,25.86,0
2023-12-18,San Diego,Rice,Dry Goods,3,7.28,0.0,21.84,0
2023-10-13,Las Vegas,Bagoong,Condiments,1,9.45,0.0,9.45,0
2023-05-07,Las Vegas,Instant Noodles,Dry Goods,4,1.36,0.0,5.44,0
2023-10-16,Las Vegas,Boy Bawang,Snacks,5,11.05,1.66,55.25,0
2023-01-21,San Diego,SkyFlakes,Snacks,1,10.06,1.01,10.06,0
2023-10-14,San Diego,Bagoong,Condiments,3,2.42,0.0,7.26,0
2023-04-23,Cerritos,Boy Bawang,Snacks,3,5.36,0.0,16.08,0
2023-10-05,Las Vegas,Ube Ice Cream,Frozen Goods,2,3.54,0.0,7.08,0
2023-12-26,Las Vegas,Pandesal,Dry Goods,2,8.94,0.0,17.88,0
2023-12-17,Las Vegas,Frozen Lumpia,Frozen Goods,3,9.86,1.48,29.58,0
2023-12-22,San Diego,Tocino,Frozen Goods,3,9.55,0.0,28.65,0
2023-09-01,Las Vegas,Dried Fish,Dry Goods,4,12.52,0.0,50.08,0
2023-12-07,Cerritos,Dried Fish,Dry Goods,2,9.21,0.0,18.42,0
2023-02-01,San Diego,Bagoong,Condiments,2,1.33,0.0,2.66,0
2023-09-07,Cerritos,Soy Sauce,Condiments,2,9.32,0.0,18.64,1
2023-11-20,San Diego,Vinegar,Condiments,2,6.99,0.35,13.98,0
2023-07-08,Las Vegas,Ube Ice Cream,Frozen Goods,2,11.14,0.0,22.28,0
2023-12-06,Cerritos,Soy Sauce,Condiments,1,13.52,0.0,13.52,0
2023-04-05,Las Vegas,Bagoong,Condiments,2,8.27,0.0,16.54,0
2023-11-13,San Diego,Polvoron,Snacks,4,5.54,0.0,22.16,0
2023-08-24,Cerritos,Pandesal,Dry Goods,5,8.87,1.33,44.35,0
2023-06-20,Cerritos,Soy Sauce,Condiments,3,7.31,0.37,21.93,0
2023-12-05,San Diego,Longganisa,Frozen Goods,4,3.13,0.47,12.52,0
2023-06-23,Cerritos,Frozen Lumpia,Frozen Goods,4,11.57,0.0,46.28,0
2023-05-22,Las Vegas,Bagoong,Condiments,2,5.24,0.0,10.48,0
2023-01-08,San Diego,Soy Sauce,Condiments,2,5.28,0.0,10.56,0
2023-10-02,Cerritos,Banana Ketchup,Condiments,6,14.03,0.0,84.18,0
2023-04-19,San Diego,SkyFlakes,Snacks,6,6.64,0.0,39.84,0
2023-03-28,San Diego,Ube Ice Cream,Frozen Goods,4,13.07,1.31,52.28,0
2023-04-06,Las Vegas,Polvoron,Snacks,3,6.58,0.0,19.74,0
2023-12-07,Las Vegas,Banana Ketchup,Condiments,1,2.89,0.43,2.89,0
2023-02-17,San Diego,Instant Noodles,Dry Goods,4,2.48,0.0,9.92,0
2023-01-05,Las Vegas,Rice,Dry Goods,3,11.93,0.0,35.79,0
2023-03-10,Las Vegas,Bagoong,Condiments,2,14.77,0.0,29.54,0
2023-11-21,San Diego,Tocino,Frozen Goods,1,2.41,0.0,2.41,0
2023-09-12,Cerritos,Vinegar,Condiments,5,8.38,0.0,41.9,0
2023-01-06,San Diego,Rice,Dry Goods,3,6.8,0.68,20.4,0
2023-12-01,Las Vegas,Dried Fish,Dry Goods,1,6.83,0.0,6.83,0
2023-10-04,San Diego,Bagoong,Condiments,2,8.49,0.0,16.98,0
2023-03-13,Cerritos,Frozen Lumpia,Frozen Goods,5,8.67,0.0,43.35,0
2023-06-30,Cerritos,Bagoong,Condiments,1,3.1,0.0,3.1,0
2023-11-16,Las Vegas,Tocino,Frozen Goods,3,11.99,1.2,35.97,0
2023-07-17,Las Vegas,Chippy,Snacks,4,12.77,0.0,51.08,0
2023-05-09,Cerritos,Vinegar,Condiments,6,8.26,0.0,49.56,0
2023-12-05,Cerritos,Boy Bawang,Snacks,2,2.19,0.11,4.38,0
2023-06-22,San Diego,Chippy,Snacks,1,14.39,0.72,14.39,0
2023-08-15,Las Vegas,Frozen Lumpia,Frozen Goods,4,3.44,0.0,13.76,0
2023-07-20,Cerritos,Soy Sauce,Condiments,2,2.15,0.32,4.3,0
2023-07-31,Cerritos,Tocino,Frozen Goods,3,2.7,0.0,8.1,0
2023-11-10,San Diego,Chippy,Snacks,2,14.56,0.73,29.12,0
2023-08-22,Las Vegas,Dried Fish,Dry Goods,6,5.74,0.57,34.44,0
2023-05-23,Cerritos,Pandesal,Dry Goods,3,14.2,0.0,42.6,0
2023-11-12,San Diego,Longganisa,Frozen Goods,3,12.42,1.24,37.26,0
2023-12-17,Las Vegas,Dried Fish,Dry Goods,5,11.87,0.0,59.35,0
2023-05-29,San Diego,Tocino,Frozen Goods,3,3.31,0.0,9.93,0
2023-04-08,San Diego,Frozen Lumpia,Frozen Goods,5,9.26,0.0,46.3,0
2023-10-08,Las Vegas,Instant Noodles,Dry Goods,5,7.46,0.0,37.3,0
2023-07-06,San Diego,Banana Ketchup,Condiments,3,12.2,0.0,36.6,0
2023-05-19,San Diego,Pandesal,Dry Goods,3,11.97,0.0,35.91,0
2023-09-25,Cerritos,Vinegar,Condiments,1,11.44,0.0,11.44,0
2023-03-21,San Diego,Ube Ice Cream,Frozen Goods,2,5.28,0.53,10.56,1
2023-08-27,Cerritos,SkyFlakes,Snacks,5,6.78,0.0,33.9,0
2023-07-29,Las Vegas,Frozen Lumpia,Frozen Goods,3,9.23,0.0,27.69,0
2023-12-24,Las Vegas,Soy Sauce,Condiments,1,8.86,0.0,8.86,0
2023-09-23,San Diego,Instant Noodles,Dry Goods,5,1.82,0.0,9.1,0
2023-02-06,Las Vegas,Boy Bawang,Snacks,4,5.59,0.0,22.36,0
2023-08-22,Las Vegas,Bagoong,Condiments,6,9.91,0.5,59.46,0
2023-05-02,Las Vegas,Soy Sauce,Condiments,4,3.58,0.0,14.32,0
2023-02-01,Cerritos,Chippy,Snacks,0,1.34,0.13,0.0,0
2023-05-12,Las Vegas,Ube Ice Cream,Frozen Goods,3,7.02,0.7,21.06,0
2023-11-01,Las Vegas,Tocino,Frozen Goods,3,2.87,0.0,8.61,0
2023-06-13,Las Vegas,Ube Ice Cream,Frozen Goods,4,9.54,0.0,38.16,0
2023-03-08,San Diego,Vinegar,Condiments,2,1.8,0.0,3.6,0
2023-08-30,San Diego,Polvoron,Snacks,3,11.63,0.0,34.89,0
2023-03-24,Las Vegas,SkyFlakes,Snacks,1,1.47,0.0,1.47,0
2023-01-25,Cerritos,Instant Noodles,Dry Goods,2,5.86,0.59,11.72,0
2023-11-21,Las Vegas,Tocino,Frozen Goods,4,6.86,0.0,27.44,0
2023-04-20,San Diego,Boy Bawang,Snacks,3,8.91,0.0,26.73,0
2023-01-15,San Diego,Pandesal,Dry Goods,2,3.12,0.0,6.24,0
2023-05-24,Cerritos,Soy Sauce,Condiments,3,13.04,0.65,39.12,0
2023-10-23,San Diego,Boy Bawang,Snacks,2,7.42,0.0,14.84,0
2023-01-05,San Diego,Dried Fish,Dry Goods,6,1.87,0.0,11.22,0
2023-10-29,Cerritos,Ube Ice Cream,Frozen Goods,1,12.01,0.0,12.01,0
2023-09-05,San Diego,Chippy,Snacks,2,8.27,0.0,16.54,0
2023-11-04,Las Vegas,Rice,Dry Goods,6,1.91,0.0,11.46,0
2023-06-03,Las Vegas,Ube Ice Cream,Frozen Goods,2,10.19,1.02,20.38,0
2023-05-30,Las Vegas,Dried Fish,Dry Goods,4,12.1,0.0,48.4,0
2023-08-18,San Diego,SkyFlakes,Snacks,4,10.74,0.54,42.96,0
2023-01-10,San Diego,SkyFlakes,Snacks,4,3.83,0.0,15.32,0
2023-10-10,Las Vegas,Soy Sauce,Condiments,2,9.61,0.0,19.22,0
2023-12-11,Las Vegas,SkyFlakes,Snacks,7,13.35,0.0,93.45,0
2023-03-06,Las Vegas,Longganisa,Frozen Goods,0,8.84,0.0,0.0,0
2023-12-16,Cerritos,Polvoron,Snacks,3,13.01,1.3,39.03,0
2023-01-20,Las Vegas,Chippy,Snacks,4,6.01,0.0,24.04,0
2023-08-04,San Diego,Soy Sauce,Condiments,2,12.56,0.0,25.12,0
2023-02-01,Cerritos,Bagoong,Condiments,1,7.3,0.36,7.3,0
2023-04-06,San Diego,Polvoron,Snacks,6,10.47,0.0,62.82,0
2023-07-10,Cerritos,Instant Noodles,Dry Goods,1,12.98,0.0,12.98,0
2023-10-15,Las Vegas,Soy Sauce,Condiments,4,3.98,0.0,15.92,0
2023-03-30,San Diego,Instant Noodles,Dry Goods,8,8.85,0.0,70.8,0
2023-02-23,San Diego,Polvoron,Snacks,5,6.92,0.0,34.6,0
2023-10-17,San Diego,SkyFlakes,Snacks,5,12.27,0.0,61.35,0
2023-05-29,Cerritos,Chippy,Snacks,4,2.58,0.13,10.32,0
2023-02-10,Las Vegas,Polvoron,Snacks,1,1.17,0.0,1.17,0
2023-07-20,Las Vegas,Soy Sauce,Condiments,3,1.67,0.17,5.01,0
2023-02-17,Cerritos,Polvoron,Snacks,4,4.35,0.22,17.4,0
2023-10-27,Las Vegas,Polvoron,Snacks,4,12.64,0.0,50.56,0
2023-12-18,Las Vegas,Boy Bawang,Snacks,3,13.31,0.0,39.93,0
2023-11-29,San Diego,Soy Sauce,Condiments,3,9.43,0.94,28.29,0
2023-05-02,San Diego,Banana Ketchup,Condiments,4,8.17,0.0,32.68,0
2023-12-01,Cerritos,Polvoron,Snacks,6,1.99,0.0,11.94,0
2023-08-10,Las Vegas,SkyFlakes,Snacks,1,2.96,0.0,2.96,0
2023-08-14,Las Vegas,Instant Noodles,Dry Goods,2,9.55,0.0,19.1,0
2023-07-26,Cerritos,Dried Fish,Dry Goods,1,1.11,0.0,1.11,0
2023-06-23,Cerritos,Chippy,Snacks,1,12.24,0.0,12.24,0
